freelancer_id,name,email,country,primary_skill,hourly_rate_usd,years_experience,join_date,rating_avg,total_earnings_usd,profile_complete,verified
FL00089,maria khan,maria.khan46@yahoo.com,australia,devops,20.0,3.0,2017-09-14,4.0,106741.0,0,0
FL00090,olga nguyen,olga.nguyen68@gmail.com,india,machine learning,20.0,13.0,2021-05-06,4.0,47516.0,1,1
FL00091,david ahmed,david.ahmed50@outlook.com,nigeria,react,150.0,2.0,2021-04-28,3.1,104493.0,1,1
FL00092,zara ahmed,zara.ahmed99@outlook.com,australia,copywriting,60.0,12.0,2022-08-16,4.4,81310.0,0,1
FL00093,sunita singh,sunita.singh77@yahoo.com,usa,react,50.0,13.0,2016-01-03,3.9,70861.0,1,0
FL00094,sarah johnson,sarah.johnson26@yahoo.com,uk,data analysis,60.0,11.0,2023-01-31,3.7,36184.0,0,0
FL00095,chen silva,chen.silva36@yahoo.com,ukraine,react,50.0,7.32,2021-06-16,4.3,18629.0,0,0
FL00096,sergiy petrov,sergiy.petrov77@yahoo.com,pakistan,flutter,78.45,4.0,2023-11-07,3.9,22777.0,1,0
FL00097,nan,yuki.nguyen34@gmail.com,pakistan,flutter,100.0,12.0,2023-12-06,3.9,109545.0,1,1
FL00098,amara williams,amara.williams57@outlook.com,germany,react,40.0,14.0,2020-11-04,4.1,64440.0,0,0
FL00099,james petrov,james.petrov26@yahoo.com,uk,copywriting,25.0,5.0,2019-06-09,4.2,69274.0,0,1
FL00100,fatima müller,fatima.müller91@yahoo.com,ukraine,wordpress,50.0,3.0,2020-02-19,4.4,101087.0,0,0
FL00101,david khan,david.khan7@yahoo.com,mexico,flutter,20.0,15.0,2017-02-05,3.7,58310.0,1,0
FL00102,carlos rossi,carlos.rossi70@yahoo.com,pakistan,graphic design,60.0,15.0,2016-04-08,4.1,8949.0,1,1
FL00103,lena hassan,lena.hassan27@gmail.com,usa,graphic design,25.0,11.0,2022-02-04,2.9,36043.0,0,0
FL00104,michael khan,michael.khan87@yahoo.com,philippines,php,120.0,4.0,2022-12-23,3.9,97249.0,0,1
FL00105,olga müller,olga.müller55@gmail.com,vietnam,graphic design,150.0,14.0,2015-09-17,4.7,4768.0,0,0
FL00106,bjorn garcia,bjorn.garcia12@outlook.com,india,seo,25.0,4.0,2016-10-13,4.2,73631.88,0,1
FL00107,sergiy nguyen,sergiy.nguyen17@yahoo.com,bangladesh,video editing,120.0,0.0,2016-05-08,5.0,139569.0,0,0
FL00108,nia petrov,nia.petrov12@gmail.com,ukraine,machine learning,25.0,4.0,2021-11-28,5.0,75190.0,1,1
FL00109,chen okafor,chen.okafor31@yahoo.com,egypt,devops,78.45,6.0,2018-04-25,4.3,45790.0,0,1
FL00110,amara okafor,amara.okafor99@yahoo.com,usa,python,30.0,1.0,2020-09-06,3.6,86155.0,1,0
FL00111,priya johnson,priya.johnson79@outlook.com,usa,nan,150.0,7.32,2015-12-20,3.7,68460.0,1,0
FL00112,ali petrov,ali.petrov74@outlook.com,philippines,machine learning,15.0,0.0,2018-01-19,4.5,60374.0,1,1
FL00113,nia khan,nia.khan71@outlook.com,india,node.js,12.0,12.0,2017-01-03,4.3,12539.0,1,0
FL00114,aarav müller,aarav.müller95@outlook.com,australia,php,30.0,14.0,2017-04-01,3.8,6767.0,1,0
FL00115,lena garcia,lena.garcia54@yahoo.com,mexico,python,400.0,12.0,2016-03-01,3.2,132994.0,0,0
FL00116,michael garcia,michael.garcia51@outlook.com,nigeria,python,50.0,4.0,2017-12-05,4.2,82821.0,0,1
FL00117,ravi ahmed,ravi.ahmed78@gmail.com,bangladesh,copywriting,30.0,3.0,2022-09-11,4.6,146239.0,1,1
FL00118,kofi johnson,kofi.johnson88@outlook.com,australia,graphic design,20.0,1.0,2016-06-19,5.0,87413.0,0,1
FL00119,omar petrov,omar.petrov36@yahoo.com,nigeria,seo,150.0,0.0,2016-12-08,3.6,138339.0,0,1
FL00120,fatima mbeki,fatima.mbeki4@yahoo.com,uk,graphic design,150.0,15.0,2020-08-19,4.3,65474.0,1,1
FL00121,sofia okafor,sofia.okafor23@gmail.com,mexico,machine learning,12.0,7.0,2018-12-24,4.9,129534.0,1,0
FL00122,aarav nguyen,aarav.nguyen92@gmail.com,india,node.js,100.0,15.0,2021-11-20,3.7,98434.0,1,0
FL00123,chen petrov,chen.petrov41@gmail.com,ukraine,data analysis,40.0,5.0,2023-11-18,4.0,103155.0,0,1
FL00124,nia silva,nia.silva45@yahoo.com,nigeria,ui/ux design,100.0,3.0,2016-07-30,4.3,67781.0,1,1
FL00125,juan okafor,juan.okafor62@outlook.com,canada,machine learning,50.0,13.0,2018-12-09,4.2,143904.0,1,1
FL00126,olga ahmed,olga.ahmed13@yahoo.com,nigeria,devops,60.0,13.0,2021-10-23,4.4,129199.0,1,1
FL00127,emily patel,emily.patel11@yahoo.com,philippines,php,120.0,15.0,2015-04-16,3.6,122412.0,0,1
FL00128,natasha müller,natasha.müller30@outlook.com,pakistan,graphic design,150.0,2.0,2021-01-26,4.4,9603.0,0,1
FL00129,james ahmed,james.ahmed55@gmail.com,nigeria,react,15.0,14.0,2017-05-17,3.6,72904.0,0,1
FL00130,zara khan,zara.khan13@gmail.com,nigeria,wordpress,75.0,3.0,2016-08-30,4.0,72698.0,0,1
FL00131,sergiy johnson,sergiy.johnson48@gmail.com,uk,python,50.0,10.0,2015-07-21,4.0,109754.0,1,0
FL00132,kofi kumar,kofi.kumar91@outlook.com,mexico,php,50.0,11.0,2020-10-11,4.0,94970.0,1,1
FL00133,michael müller,michael.müller61@outlook.com,brazil,seo,120.0,7.32,2020-06-25,4.5,58525.0,1,0
FL00134,juan khan,juan.khan29@yahoo.com,uk,video editing,12.0,0.0,2022-04-05,3.3,136982.0,0,1
FL00135,david patel,david.patel82@yahoo.com,brazil,flutter,40.0,9.0,2020-05-27,4.2,37181.0,1,0
FL00136,sofia mbeki,sofia.mbeki88@outlook.com,philippines,devops,50.0,1.0,2017-02-16,3.4,68304.0,0,0
FL00137,michael garcia,michael.garcia34@outlook.com,mexico,ui/ux design,120.0,11.0,2019-09-19,4.3,14672.0,1,0
FL00138,deepak nguyen,deepak.nguyen43@outlook.com,ukraine,seo,100.0,14.0,2023-01-10,3.6,34422.0,1,0
FL00139,chen müller,nan,canada,seo,12.0,6.0,2015-02-27,4.1,120018.0,0,1
FL00140,fatima williams,fatima.williams52@gmail.com,mexico,flutter,20.0,15.0,2016-11-06,4.1,67553.0,0,1
FL00141,priya patel,priya.patel33@yahoo.com,india,flutter,15.0,0.0,2019-09-04,3.1,31363.0,0,1
FL00142,fatima petrov,fatima.petrov27@outlook.com,nan,node.js,30.0,6.0,2018-04-24,4.5,27052.0,1,0
FL00143,lena kumar,lena.kumar55@outlook.com,philippines,data analysis,60.0,5.0,2018-04-05,3.9,90342.0,0,0
FL00144,amara petrov,amara.petrov17@outlook.com,philippines,php,50.0,15.0,2022-04-11,4.8,8054.0,0,0
FL00145,hassan kumar,hassan.kumar91@outlook.com,pakistan,copywriting,60.0,13.0,2015-09-17,3.3,101393.0,0,1
FL00146,maria silva,maria.silva63@yahoo.com,nigeria,python,12.0,5.0,2020-07-23,4.3,131167.0,1,0
FL00147,kofi sharma,kofi.sharma39@outlook.com,india,javascript,50.0,0.0,2023-11-18,3.4,119128.0,0,0
FL00148,carlos rossi,carlos.rossi22@yahoo.com,ukraine,ui/ux design,120.0,9.0,2019-03-12,3.5,89087.0,0,1
FL00149,hassan mbeki,nan,vietnam,flutter,100.0,14.0,2020-08-27,4.3,84869.0,0,0
FL00150,david yamamoto,david.yamamoto96@outlook.com,mexico,machine learning,25.0,10.0,2016-06-30,4.4,35279.0,1,0
FL00151,carlos silva,carlos.silva54@outlook.com,germany,flutter,40.0,7.32,2021-07-15,3.8,42688.0,1,1
FL00152,fatima yamamoto,fatima.yamamoto72@gmail.com,india,machine learning,30.0,1.0,2016-02-24,3.7,82460.0,1,1
FL00153,yuki mbeki,yuki.mbeki93@gmail.com,bangladesh,wordpress,60.0,11.0,2021-02-16,4.5,87155.0,1,1
FL00154,juan mbeki,juan.mbeki41@outlook.com,ukraine,wordpress,12.0,9.0,2021-03-03,4.5,95080.0,0,1
FL00155,hassan johnson,hassan.johnson6@outlook.com,brazil,php,1200.0,7.32,2022-03-15,4.1,73631.88,1,0
FL00156,olga sharma,olga.sharma88@yahoo.com,usa,javascript,20.0,0.0,2017-05-13,4.0,73631.88,1,1
FL00157,nia brown,nan,philippines,video editing,15.0,7.0,2019-07-28,4.2,79497.0,1,0
FL00158,deepak okafor,deepak.okafor82@gmail.com,vietnam,flutter,12.0,7.32,2023-12-08,3.9,73631.88,0,0
FL00159,emily petrov,emily.petrov24@gmail.com,usa,data analysis,25.0,11.0,2022-03-30,3.9,66216.0,1,1
FL00160,sunita garcia,sunita.garcia63@yahoo.com,ukraine,ui/ux design,20.0,7.0,2021-12-12,3.8,114827.0,1,0
FL00161,yuki garcia,yuki.garcia78@gmail.com,ukraine,devops,60.0,11.0,,3.9,106703.0,1,1
FL00162,fatima okafor,fatima.okafor38@gmail.com,brazil,devops,75.0,4.0,2017-07-03,4.0,117474.0,0,1
FL00163,priya johnson,nan,pakistan,machine learning,150.0,11.0,2023-07-16,3.8,69526.0,0,0
FL00164,maria brown,maria.brown52@yahoo.com,uk,nan,100.0,2.0,2019-03-22,3.4,39884.0,1,1
FL00165,chen patel,chen.patel76@gmail.com,usa,flutter,25.0,10.0,2020-05-26,4.6,106787.0,0,0
FL00166,emily yamamoto,emily.yamamoto22@gmail.com,germany,machine learning,120.0,2.0,2021-10-20,5.0,18546.0,0,0
FL00167,ivan patel,ivan.patel5@outlook.com,bangladesh,video editing,75.0,4.0,2016-12-27,4.0,139388.0,0,0
FL00168,zara khan,zara.khan11@yahoo.com,uk,ui/ux design,78.45,3.0,2017-11-08,3.9,83311.0,1,0
FL00169,sofia müller,sofia.müller97@gmail.com,nigeria,data analysis,30.0,13.0,2021-11-11,3.9,60733.0,1,0
FL00170,james okafor,james.okafor19@yahoo.com,brazil,seo,78.45,1.0,2022-02-17,3.0,15563.0,0,0
FL00171,emily kumar,emily.kumar30@outlook.com,canada,python,25.0,9.0,2023-10-17,3.5,18487.0,0,1
FL00172,michael hassan,michael.hassan1@yahoo.com,brazil,devops,100.0,8.0,2017-03-07,3.7,66073.0,0,1
FL00173,natasha yamamoto,natasha.yamamoto34@gmail.com,bangladesh,graphic design,40.0,14.0,2021-07-31,4.0,90151.0,1,0
FL00174,juan williams,juan.williams27@gmail.com,bangladesh,devops,100.0,6.0,2017-08-19,4.4,142444.0,0,0
FL00175,james rossi,james.rossi17@gmail.com,ukraine,copywriting,100.0,15.0,2018-02-21,4.0,55747.0,1,1
FL00176,sarah silva,sarah.silva55@gmail.com,vietnam,data analysis,20.0,7.0,2021-11-16,4.0,62314.0,0,0
FL00177,james petrov,james.petrov81@outlook.com,australia,machine learning,78.45,0.0,2020-08-08,4.0,88228.0,1,1
FL00178,fatima hassan,fatima.hassan69@gmail.com,australia,data analysis,400.0,3.0,2017-03-25,5.0,44428.0,1,0
FL00179,michael nguyen,michael.nguyen78@outlook.com,nigeria,seo,15.0,10.0,2018-07-21,4.3,21488.0,0,1
FL00180,yuki okafor,yuki.okafor34@outlook.com,mexico,devops,60.0,0.0,2020-11-16,4.0,94043.0,1,0
FL00181,sergiy johansson,sergiy.johansson96@outlook.com,vietnam,video editing,30.0,4.0,2016-12-26,4.0,137684.0,0,0
FL00182,yuki silva,yuki.silva38@outlook.com,canada,video editing,12.0,15.0,2018-05-12,4.2,69438.0,1,0
FL00183,david johansson,david.johansson24@gmail.com,australia,devops,100.0,7.32,2018-01-06,3.7,71067.0,0,0
FL00184,zara garcia,zara.garcia60@outlook.com,usa,react,12.0,10.0,2023-10-24,3.9,100528.0,1,0
FL00185,emily yamamoto,emily.yamamoto27@yahoo.com,australia,copywriting,25.0,1.0,2023-03-31,4.0,57591.0,1,0
FL00186,amara johnson,amara.johnson89@yahoo.com,india,react,30.0,12.0,2015-02-06,4.5,93696.0,1,1
FL00187,amara yamamoto,amara.yamamoto46@outlook.com,pakistan,copywriting,25.0,11.0,2023-03-23,4.0,145864.0,0,0
FL00188,yuki rossi,yuki.rossi80@yahoo.com,vietnam,data analysis,75.0,0.0,2019-04-02,3.6,85067.0,1,1
FL00189,james kumar,james.kumar5@outlook.com,egypt,javascript,78.45,4.0,,4.6,21460.0,1,1
FL00190,kofi hassan,kofi.hassan39@gmail.com,germany,devops,50.0,1.0,2017-12-24,3.7,146813.0,1,0
FL00191,james ahmed,james.ahmed21@outlook.com,egypt,copywriting,150.0,3.0,2021-03-02,3.9,56579.0,0,0
FL00192,david hassan,david.hassan39@gmail.com,canada,copywriting,500.0,1.0,2015-03-08,3.3,41057.0,0,1
FL00193,amara garcia,amara.garcia28@outlook.com,philippines,ui/ux design,100.0,8.0,2016-01-12,4.9,15159.0,1,1
FL00194,chen hassan,chen.hassan7@yahoo.com,uk,seo,15.0,7.0,2015-02-16,4.2,132811.0,0,1
FL00195,carlos okafor,carlos.okafor90@gmail.com,pakistan,react,40.0,1.0,2017-12-11,3.9,23986.0,0,0
FL00196,yuki garcia,yuki.garcia57@outlook.com,bangladesh,ui/ux design,40.0,0.0,2016-11-24,4.5,39212.0,0,1
FL00197,aarav nguyen,aarav.nguyen70@outlook.com,germany,graphic design,15.0,15.0,2017-05-06,4.0,71614.0,1,1
FL00198,lena patel,lena.patel50@gmail.com,egypt,data analysis,120.0,11.0,2015-03-20,4.2,73631.88,0,1
FL00199,fatima garcia,fatima.garcia36@gmail.com,uk,nan,200.0,11.0,2017-08-25,3.9,60118.0,0,0
FL00200,emily khan,emily.khan18@yahoo.com,philippines,devops,100.0,4.0,2021-07-07,3.8,140212.0,1,0
FL00201,bjorn petrov,bjorn.petrov82@outlook.com,mexico,react,1500.0,10.0,2019-08-12,4.1,125438.0,0,1
FL00202,juan khan,juan.khan98@gmail.com,egypt,ui/ux design,20.0,15.0,2016-11-01,4.8,85669.0,1,0
FL00203,omar hassan,omar.hassan83@outlook.com,india,wordpress,150.0,10.0,2023-04-30,3.4,13422.0,0,0
FL00204,david hassan,david.hassan60@outlook.com,australia,php,30.0,13.0,2015-08-12,3.8,53435.0,1,1
FL00205,ravi patel,ravi.patel68@outlook.com,egypt,devops,150.0,3.0,2022-12-02,3.8,47388.0,1,0
FL00206,sunita khan,sunita.khan2@yahoo.com,germany,graphic design,60.0,5.0,2017-04-10,3.8,2223.0,0,1
FL00207,priya müller,priya.müller74@outlook.com,brazil,php,25.0,4.0,2015-05-31,4.1,94921.0,1,1
FL00208,david silva,david.silva43@outlook.com,mexico,seo,15.0,2.0,2016-07-05,3.7,75784.0,0,1
FL00209,maria silva,maria.silva30@outlook.com,nigeria,wordpress,40.0,15.0,2020-07-10,4.4,73631.88,1,0
FL00210,yuki singh,yuki.singh93@outlook.com,australia,javascript,30.0,10.0,2016-04-11,4.1,121248.0,0,1
FL00211,sofia nguyen,sofia.nguyen88@yahoo.com,vietnam,seo,78.45,9.0,2021-03-24,3.6,81314.0,1,0
FL00212,hassan garcia,hassan.garcia48@gmail.com,uk,javascript,60.0,11.0,2017-06-04,3.8,86309.0,0,1
FL00213,hassan okafor,hassan.okafor40@gmail.com,brazil,flutter,20.0,1.0,2023-01-02,3.6,50974.0,0,1
FL00214,sunita singh,sunita.singh70@yahoo.com,egypt,javascript,30.0,8.0,2021-12-26,4.0,8100.0,1,1
FL00215,ivan müller,ivan.müller98@outlook.com,india,javascript,50.0,14.0,2018-07-03,3.7,123850.0,1,0
FL00216,amara nguyen,amara.nguyen15@yahoo.com,nigeria,data analysis,40.0,10.0,2020-01-31,4.7,19092.0,0,0
FL00217,juan okafor,juan.okafor76@yahoo.com,uk,node.js,100.0,5.0,2015-09-28,3.3,146012.0,0,0
FL00218,ali silva,ali.silva18@outlook.com,nan,javascript,100.0,12.0,2022-03-26,4.1,83494.0,0,0
FL00219,ravi mbeki,ravi.mbeki17@yahoo.com,mexico,seo,150.0,11.0,2015-02-03,3.4,100846.0,0,1
FL00220,kofi müller,kofi.müller86@gmail.com,nan,copywriting,20.0,12.0,2019-09-05,4.3,120045.0,1,1
FL00221,omar müller,omar.müller74@yahoo.com,nigeria,react,60.0,14.0,2017-07-13,4.4,37747.0,0,1
FL00222,olga sharma,olga.sharma40@outlook.com,usa,video editing,100.0,15.0,2022-09-02,4.4,76314.0,1,1
FL00223,sofia ahmed,nan,germany,graphic design,100.0,15.0,2021-06-04,4.0,40119.0,1,0
FL00224,ali sharma,ali.sharma64@yahoo.com,germany,node.js,60.0,1.0,2016-08-17,3.3,44435.0,0,1
FL00225,juan brown,juan.brown37@yahoo.com,australia,devops,75.0,12.0,2016-08-17,3.8,26262.0,0,0
FL00226,maria nguyen,maria.nguyen71@gmail.com,nan,machine learning,25.0,6.0,2022-08-07,4.0,24601.0,0,0
